Name,Nationality,Overall,Club,Value,Position
O. Threlkeld,England,64,Waasland-Beveren,€500K,RB
J. Schryvers,Belgium,64,Waasland-Beveren,€575K,RWB
L. Ndao,Senegal,64,Waasland-Beveren,€625K,ST
K. Roberts,England,64,Walsall,€650K,CB
L. Leahy,England,64,Walsall,€450K,LB
D. Fox,Australia,64,Wellington Phoenix,€525K,CB
D. Williams,Australia,64,Wellington Phoenix,€425K,LS
N. Burns,Australia,64,Wellington Phoenix,€425K,ST
J. Bond,England,64,West Bromwich Albion,€425K,GK
G. Diangana,England,64,West Ham United,€1M,RM
K. Coulibaly,France,64,Willem II,€550K,LW
M. Pal?i?,Slovenia,64,Wis?a Kraków,€450K,RB
J. Bartkowski,Poland,64,Wis?a Kraków,€425K,RB
K. Angielski,Poland,64,Wis?a P?ock,€625K,ST
M. Leitgeb,Austria,64,Wolfsberger AC,€325K,CM
N. Rni?,Serbia,64,Wolfsberger AC,€180K,LCB
D. Orgill,Jamaica,64,Wolfsberger AC,€475K,LS
B. Gschweidl,Austria,64,Wolfsberger AC,€600K,ST
S. Saunders,England,64,Wycombe Wanderers,€220K,CM
B. Morris,England,64,Wycombe Wanderers,€750K,CM
R. Allsop,England,64,Wycombe Wanderers,€400K,GK
N. Tyson,England,64,Wycombe Wanderers,€150K,LW
S. Jombati,Portugal,64,Wycombe Wanderers,€325K,RCB
S. Kashket,England,64,Wycombe Wanderers,€800K,RW
M. Y?ld?r?m,Turkey,64,Yeni Malatyaspor,€300K,LDM
G. Warren,England,64,Yeovil Town,€180K,LCB
T. James,Wales,64,Yeovil Town,€525K,RB
O. Sowunmi,England,64,Yeovil Town,€500K,RCB
F. Zoko,Ivory Coast,64,Yeovil Town,€240K,ST
T. Kubo,Japan,64,Yokohama F. Marinos,€975K,CAM
T. Ogihara,Japan,64,Yokohama F. Marinos,€475K,CM
M. Matras,Poland,64,Zag??bie Lubin,€425K,CDM
J. Tosik,Poland,64,Zag??bie Lubin,€300K,CDM
P. Leciejewski,Poland,64,Zag??bie Lubin,€230K,GK
K. Mazek,Poland,64,Zag??bie Lubin,€575K,RM
P. Polczak,Poland,64,Zag??bie Sosnowiec,€300K,CB
M. Perdiji?,Croatia,64,Zag??bie Sosnowiec,€60K,GK
Z. Udovi?i?,Serbia,64,Zag??bie Sosnowiec,€425K,LM
M. Heinloth,Germany,64,Zag??bie Sosnowiec,€450K,RB
V. Sanogo,France,64,Zag??bie Sosnowiec,€625K,ST
G. Ivanov,Bulgaria,64,,€0,CAM
D. Cornelius,Canada,64,,€0,CB
N. Ferraresi,Venezuela,64,,€0,CB
J. Candía,Bolivia,64,,€0,CB
A. Cicâld?u,Romania,64,,€0,CM
T. Mokoena,South Africa,64,,€0,CM
R. Quiñonez,Bolivia,64,,€0,GK
B. Añor,Venezuela,64,,€0,LM
J. Chancellor,Venezuela,64,,€0,RCB
D. Wayar,Bolivia,64,,€0,RCM
A. Ponce,Venezuela,64,,€0,ST
L. Vaca,Bolivia,64,,€0,ST
J. S?owik,Poland,65,?l?sk Wroc?aw,€450K,GK
W. Golla,Poland,65,?l?sk Wroc?aw,€550K,LCB
G. Fechner,Germany,65,1. FC Kaiserslautern,€850K,CDM
J. Sternberg,Germany,65,1. FC Kaiserslautern,€550K,LB
F. Pick,Germany,65,1. FC Kaiserslautern,€800K,RM
A. Brunst,Germany,65,1. FC Magdeburg,€625K,GK
F. Lohkemper,Germany,65,1. FC Magdeburg,€775K,LS
T. Müller,Germany,65,1. FC Magdeburg,€600K,RCB
M. Osei Kwadwo,Ghana,65,1. FC Magdeburg,€800K,RM
M. Costly,Germany,65,1. FC Magdeburg,€750K,RW
L. Jäger,Austria,65,1. FC Nürnberg,€625K,CDM
F. Palacios Martínez,Spain,65,1. FC Nürnberg,€750K,ST
J. Ryerson,Norway,65,1. FC Union Berlin,€700K,CDM
K. Risgård,Denmark,65,Aalborg BK,€230K,CM
B. Sverrisson,Iceland,65,Aarhus GF,€450K,CDM
M. Amini,Australia,65,Aarhus GF,€700K,CM
Óscar Whalley,Spain,65,Aarhus GF,€525K,GK
D. Mikanovi?,Croatia,65,Aarhus GF,€625K,RB
R. Mmaee,Belgium,65,Aarhus GF,€850K,ST
L. Ferguson,Scotland,65,Aberdeen,€1.1M,CAM
M. Devlin,Scotland,65,Aberdeen,€625K,CB
A. Considine,Scotland,65,Aberdeen,€350K,RCB
D. Ball,England,65,Aberdeen,€650K,RDM
J. Mendes,France,65,AC Ajaccio,€625K,ST
J. Borring,Denmark,65,AC Horsens,€325K,LM
P. Nymann,Denmark,65,AC Horsens,€120K,RM
S. Conneely,Republic of Ireland,65,Accrington Stanley,€425K,CDM
J. Clark,England,65,Accrington Stanley,€675K,RM
E. Hooi,Curacao,65,ADO Den Haag,€575K,LW
N. Kuipers,Netherlands,65,ADO Den Haag,€575K,RCB
C. Giousis,Greece,65,AEK Athens,€1.2M,CAM
M. Giannikoglou,Greece,65,AEK Athens,€500K,GK
K. Appiah,Ghana,65,AFC Wimbledon,€575K,LS
S. Wagstaff,England,65,AFC Wimbledon,€550K,RM
J. Jervis,England,65,AFC Wimbledon,€650K,ST
S. Silva,Sweden,65,AIK,€550K,ST
L. Goujon,France,65,AJ Auxerre,€825K,CM
Q. Westberg,United States,65,AJ Auxerre,€300K,GK
K. Boto,France,65,AJ Auxerre,€800K,LB
B. Youssouf,Comoros,65,AJ Auxerre,€600K,RB
M. Tacalfred,France,65,AJ Auxerre,€70K,RCB
J. Ekkelenkamp,Netherlands,65,Ajax,€950K,CM
M. Bakker,Netherlands,65,Ajax,€1M,LB
N. Lang,Netherlands,65,Ajax,€950K,LW
E. Ataseven,Turkey,65,Akhisar Belediyespor,€600K,CDM
B. Körk,Turkey,65,Akhisar Belediyespor,€40K,GK
A. Çeviker,Turkey,65,Akhisar Belediyespor,€500K,RDM
O. Abdulaziz,Saudi Arabia,65,Al Faisaly,€160K,CDM
M. Abusabaan,Saudi Arabia,65,Al Faisaly,€525K,CM
M. Malaeka,Saudi Arabia,65,Al Faisaly,€300K,GK
K. Sharahili,Saudi Arabia,65,Al Faisaly,€325K,GK
S. Al Duayyi,Saudi Arabia,65,Al Fateh,€550K,CB
M. Naamani,Algeria,65,Al Fateh,€525K,RCB
A. Al Mutairi,Saudi Arabia,65,Al Fayha,€425K,LM
T. Bu Haymid,Saudi Arabia,65,Al Fayha,€400K,RWB
H. Kadish,Saudi Arabia,65,Al Hilal,€550K,LB
A. Al Zaqan,Saudi Arabia,65,Al Ittihad,€575K,RM
H. Guy,Ivory Coast,65,Al Qadisiyah,€325K,CM
Y. Barnawi,Saudi Arabia,65,Al Qadisiyah,€575K,RB
A. Al Zain,Saudi Arabia,65,Al Qadisiyah,€575K,RCM
S. Al Sawadi,Saudi Arabia,65,Al Raed,€675K,CAM
M. Atwa,Egypt,65,Al Raed,€500K,RCB
T. Al Absi,Saudi Arabia,65,Al Taawoun,€600K,LCB
C. Amissi,Burundi,65,Al Taawoun,€525K,LDM
R. Sufyani,Saudi Arabia,65,Al Taawoun,€475K,RM
A. Al Zori,Saudi Arabia,65,Al Wehda,€400K,LB
S. Al Jaman,Saudi Arabia,65,Al Wehda,€675K,LM
C. Alk?l?ç,Turkey,65,Alanyaspor,€400K,RB
Fran García,Spain,65,Albacete BP,€550K,LB
F. Flórez,Colombia,65,Alianza Petrolera,€650K,CDM
J. Ríos,Colombia,65,Alianza Petrolera,€550K,LDM
C. Palomeque,Colombia,65,Alianza Petrolera,€675K,LM
J. Mosquera,Colombia,65,América de Cali,€550K,CDM
Henrique Jardinel,Brazil,65,América FC (Minas Gerais),€400K,CDM
N. Aankour,Morocco,65,Arka Gdynia,€675K,LM
G. Zelalem,United States,65,Arsenal,€875K,CM
Y. Marillat,France,65,AS Béziers,€525K,GK
O. Sidibé,Guinea,65,AS Béziers,€220K,RCB
M. Sylla,France,65,AS Monaco,€1.1M,ST
A. Ba,France,65,AS Nancy Lorraine,€1M,LM
J. Dalé,France,65,AS Nancy Lorraine,€425K,ST
G. Carpani,Italy,65,Ascoli,€700K,CM
T. Kupisz,Poland,65,Ascoli,€550K,RM
G. Beretta,Italy,65,Ascoli,€650K,ST
J. Bree,England,65,Aston Villa,€850K,RB
K. Davis,England,65,Aston Villa,€950K,ST
A. Hadžiahmetovi?,Bosnia Herzegovina,65,Atiker Konyaspor,€1M,LM
M. Hildebrandt,United States,65,Atlanta United,€425K,GK
F. Rodríguez,Colombia,65,Atlético Bucaramanga,€300K,LB
S. Romero,Colombia,65,Atlético Bucaramanga,€550K,ST
L. Tipton,Colombia,65,Atlético Huila,€475K,LB
E. Córdoba,Colombia,65,Atlético Huila,€600K,RB
G. Risso Patrón,Argentina,65,Atlético Tucumán,€700K,LB
J. Leiva,Chile,65,Audax Italiano,€675K,LW
I. Vásquez,Chile,65,Audax Italiano,€400K,RCM
R. Tarifeño,Chile,65,Audax Italiano,€950K,ST
M. Savastano,Netherlands,65,AZ Alkmaar,€650K,LB
B. Potts,England,65,Barnsley,€725K,RM
C. Woodrow,England,65,Barnsley,€775K,RS
I. Šehi?,Bosnia Herzegovina,65,BB Erzurumspor,€425K,GK
I. Akda?,Turkey,65,BB Erzurumspor,€525K,RDM
Zhang Lie,China PR,65,Beijing Renhe FC,€70K,GK
Wang Gang,China PR,65,Beijing Renhe FC,€400K,RB
Han Peng,China PR,65,Beijing Renhe FC,€280K,ST
Yang Zhi,China PR,65,Beijing Sinobo Guoan FC,€130K,GK
Lei Tenglong,China PR,65,Beijing Sinobo Guoan FC,€525K,LCB
D. Rodríguez,Argentina,65,Belgrano de Córdoba,€850K,CM
Raul Asencio,Spain,65,Benevento,€1.1M,ST
C. Trueman,England,65,Birmingham City,€675K,GK
J. Dacres-Cogley,England,65,Birmingham City,€700K,RB
I. Vassell,England,65,Birmingham City,€700K,ST
N. Brock-Madsen,Denmark,65,Birmingham City,€700K,ST
J. Toivio,Finland,65,BK Häcken,€400K,CB
J. Leutwiler,Canada,65,Blackburn Rovers,€375K,GK
Raphael Silva,Brazil,65,Boavista FC,€575K,CB
A. Tahar,Algeria,65,Boavista FC,€450K,CDM
I. Koneh,Cameroon,65,Boavista FC,€725K,LW
L. Dyer,England,65,Bolton Wanderers,€240K,LM
C. Doidge,Wales,65,Bolton Wanderers,€675K,ST
F. Ponce,Mexico,65,Boyacá Chicó FC,€500K,CAM
S. Avellaneda,Colombia,65,Boyacá Chicó FC,€450K,GK
J. Duque,Colombia,65,Boyacá Chicó FC,€500K,LB
A. Chicksen,Zimbabwe,65,Bradford City,€525K,LB
D. Ball,England,65,Bradford City,€550K,LM
L. Daniels,England,65,Brentford,€350K,GK
A. Longhi,Italy,65,Brescia,€400K,LB
J. Dall'Oglio,Italy,65,Brescia,€625K,LCM
I. Rondanini,Italy,65,Brescia,€675K,RB
L. Miracoli,Italy,65,Brescia,€675K,ST
S. Mauk,Australia,65,Brisbane Roar,€800K,CAM
M. McKay,Australia,65,Brisbane Roar,€130K,CDM
Henrique,Brazil,65,Brisbane Roar,€325K,LW
J. Hingert,Australia,65,Brisbane Roar,€450K,RB
H. Adelakun,England,65,Bristol City,€950K,RM
M. Eisa,Sudan,65,Bristol City,€775K,ST
E. Upson,England,65,Bristol Rovers,€525K,CM
T. Craig,England,65,Bristol Rovers,€220K,LCB
O. Clarke,England,65,Bristol Rovers,€575K,RCM
A. Rodman,England,65,Bristol Rovers,€475K,RM
S. Payne,England,65,Bristol Rovers,€600K,RS
A. Erceg,Croatia,65,Brøndby IF,€550K,LS
G. Wüthrich,Switzerland,65,BSC Young Boys,€650K,CB
U. Garcia,Switzerland,65,BSC Young Boys,€650K,LB
U. Nayir,Turkey,65,Bursaspor,€725K,ST
D. McCrory,Republic of Ireland,65,Burton Albion,€425K,LB
J. Allen,England,65,Burton Albion,€825K,RCM
E. O'Connell,Republic of Ireland,65,Bury,€625K,CB
A. Thompson,Northern Ireland,65,Bury,€575K,CB
C. Stokes,England,65,Bury,€500K,LCB
J. O'Shea,Republic of Ireland,65,Bury,€525K,RCM
N. Adams,Wales,65,Bury,€475K,RWB
C. Lavery,Northern Ireland,65,Bury,€675K,ST
D. Forde,Republic of Ireland,65,Cambridge United,€40K,GK
K. Harris,England,65,Cardiff City,€675K,LM
T. Parkes,England,65,Carlisle United,€475K,CB
A. Gerrard,Republic of Ireland,65,Carlisle United,€300K,LCB
G. Liddle,England,65,Carlisle United,€300K,RCB
G. Di Noia,Italy,65,Carpi,€725K,CM
E. Pezzi,Italy,65,Carpi,€425K,LB
M. Mbaye,Senegal,65,Carpi,€775K,LCM
A. Sabbione,Italy,65,Carpi,€625K,RCM
M. Saadane,Morocco,65,Çaykur Rizespor,€550K,LCB
R. Yalç?n,Germany,65,Çaykur Rizespor,€650K,LDM
M. Fink,Slovenia,65,Çaykur Rizespor,€425K,RB
Pedrinho,Portugal,65,CD Aves,€210K,RB
Bruno Gomes,Brazil,65,CD Aves,€875K,ST
C. Jopia,Chile,65,CD Huachipato,€525K,LB
Avilés,Spain,65,CD Leganés,€850K,RM
Luis Ruiz,Spain,65,CD Lugo,€550K,LB
Escriche,Spain,65,CD Lugo,€875K,RS
Kaká,Brazil,65,CD Nacional,€575K,CAM
Mauro Cerqueira,Portugal,65,CD Nacional,€550K,LB
Grego Sierra,Spain,65,CD Numancia,€700K,CM
M. Vera,Argentina,65,CD O'Higgins,€725K,CDM
N. Oroz,Argentina,65,CD O'Higgins,€725K,RCM
D. Torres,Chile,65,CD Palestino,€550K,LB
Ángel Galván,Spain,65,CD Tenerife,€525K,GK
Pedro Silva,Portugal,65,CD Tondela,€775K,GK
João Reis,Portugal,65,CD Tondela,€550K,LB
Pité,Portugal,65,CD Tondela,€650K,LB
Patrick,Cape Verde,65,CD Tondela,€725K,ST
D. Castillo,Chile,65,CD Universidad de Concepción,€450K,GK
E. Flores,Chile,65,CD Universidad de Concepción,€450K,LB
W. Ponce,Chile,65,CD Universidad de Concepción,€1.1M,ST
K. Cissé,Mali,65,Central Coast Mariners,€160K,RCB
A. O'Neill,Australia,65,Central Coast Mariners,€925K,RM
Y. Maruhashi,Japan,65,Cerezo Osaka,€450K,LB
Yang Dong Hyen,Korea Republic,65,Cerezo Osaka,€425K,ST
Óscar Valentín,Spain,65,CF Rayo Majadahonda,€725K,CDM
Álvaro Bustos,Spain,65,CF Rayo Majadahonda,€750K,LW
Alfred,Spain,65,CF Reus Deportiu,€750K,RM
V. Jacob,France,65,Chamois Niortais Football Club,€725K,CAM
B. Konaté,France,65,Chamois Niortais Football Club,€650K,CDM
Y. Bourhane,France,65,Chamois Niortais Football Club,€825K,LDM
A. Leautey,France,65,Chamois Niortais Football Club,€800K,LM
J. Dacosta,France,65,Chamois Niortais Football Club,€675K,RB
I. Paro,Burkina Faso,65,Chamois Niortais Football Club,€625K,RCB
Wu Yake,China PR,65,Changchun Yatai FC,€450K,GK
Benjamin Muscato,Brazil,65,Chapecoense,€475K,CB
J. Cullen,Republic of Ireland,65,Charlton Athletic,€850K,CDM
J. Steer,England,65,Charlton Athletic,€525K,GK
K. Grant,England,65,Charlton Athletic,€1.1M,LS
E. Ampadu,Wales,65,Chelsea,€1.1M,LDM
J. Campbell,United States,65,Chicago Fire,€600K,CB
L. Solignac,Argentina,65,Chicago Fire,€575K,RW
P. Jaroszy?ski,Poland,65,Chievo Verona,€600K,LB
Sui Donglu,China PR,65,Chongqing Dangdai Lifan FC SWM Team,€130K,CB
Peng Xinli,China PR,65,Chongqing Dangdai Lifan FC SWM Team,€625K,RDM
L. Ghiringhelli,Italy,65,Cittadella,€550K,RB
T. Cancellotti,Italy,65,Cittadella,€625K,RM
L. Rajot,France,65,Clermont Foot 63,€775K,CDM
A. N'Diaye,France,65,Clermont Foot 63,€575K,LM
J. Phojo,France,65,Clermont Foot 63,€525K,RB
G. Aguirre,Mexico,65,Club Atlas,€675K,CB
A. Díaz,Mexico,65,Club Atlas,€775K,ST
J. Carranza,Argentina,65,Club Atlético Banfield,€1.1M,ST
N. Briasco,Armenia,65,Club Atlético Huracán,€875K,ST
P. De la Vega,Argentina,65,Club Atlético Lanús,€1.1M,LW
M. Caranta,Argentina,65,Club Atlético Talleres,€40K,GK
G. Marinelli,Argentina,65,Club Atlético Tigre,€425K,GK
D. Sosa,Argentina,65,Club Atlético Tigre,€650K,LB
M. Pérez Acuña,Argentina,65,Club Atlético Tigre,€625K,RB
I. Openda,Belgium,65,Club Brugge KV,€1.1M,ST
C. Vergara,Chile,65,Club Deportes Temuco,€625K,CB
P. Jerez,Chile,65,Club Deportes Temuco,€350K,RB
O. Rodríguez,Mexico,65,Club León,€800K,LB
Marcão,Brazil,65,Clube Sport Marítimo,€600K,CB
Aloísio,Brazil,65,Clube Sport Marítimo,€775K,CB
N. Ioannidis,Greece,65,Clube Sport Marítimo,€700K,ST
Everton,Brazil,65,Clube Sport Marítimo,€700K,ST
K. Vincent-Young,England,65,Colchester United,€700K,LB
L. Prosser,England,65,Colchester United,€400K,LCB
F. Kent,England,65,Colchester United,€750K,RCB
L. Norris,England,65,Colchester United,€650K,ST
K. Ford,United States,65,Colorado Rapids,€725K,CB
B. Adjei-Boateng,Ghana,65,Colorado Rapids,€725K,CM
J. Blomberg,Sweden,65,Colorado Rapids,€475K,LCM
M. Hairston,United States,65,Colorado Rapids,€575K,RB
A. Crognale,United States,65,Columbus Crew SC,€675K,CB
J. Kempin,United States,65,Columbus Crew SC,€450K,GK
L. Argudo,United States,65,Columbus Crew SC,€750K,LM
C. Martinez,Panama,65,Columbus Crew SC,€725K,RM
Alex Vallejo,Spain,65,Córdoba CF,€575K,CDM
Aguado,Spain,65,Córdoba CF,€900K,LCM
Loureiro,Spain,65,Córdoba CF,€675K,RB
Erik Expósito,Spain,65,Córdoba CF,€875K,ST
G. Morrissey,Republic of Ireland,65,Cork City,€525K,LDM
G. Cummins,Republic of Ireland,65,Cork City,€525K,ST
M. Pascali,Italy,65,Cosenza,€70K,CB
M. Bruccini,Italy,65,Cosenza,€400K,CM
L. Verna,Italy,65,Cosenza,€700K,LDM
D. Mungo,Italy,65,Cosenza,€650K,RDM
L. Pérez,Italy,65,Cosenza,€550K,ST
J. Brown,England,65,Coventry City,€400K,LB
B. Mason,England,65,Coventry City,€800K,LB
C. Chaplin,England,65,Coventry City,€875K,LS
J. Willis,England,65,Coventry City,€650K,RCB
J. Jones,England,65,Coventry City,€975K,RM
J. Clarke-Harris,England,65,Coventry City,€725K,RS
M. Budzi?ski,Poland,65,Cracovia,€450K,CDM
Airam,Spain,65,Cracovia,€525K,ST
M. Connolly,Republic of Ireland,65,Crawley Town,€575K,LCB
F. Morais,Portugal,65,Crawley Town,€400K,LCM
D. Poleon,England,65,Crawley Town,€725K,ST
M. Firenze,Italy,65,Crotone,€650K,RDM
G. Allison,Mexico,65,Cruz Azul,€425K,GK
F. Silva,Uruguay,65,Curicó Unido,€130K,CDM
J. Deschamps,Chile,65,Curicó Unido,€220K,GK
J. Ortiz,Chile,65,Curicó Unido,€575K,LM
N. Bandiera,Argentina,65,Curicó Unido,€550K,RM
E. Markkanen,Finland,65,Dalkurd FF,€650K,LS
K. Ceesay,Gambia,65,Dalkurd FF,€400K,RB
T. Kemp,United States,65,DC United,€450K,LB
K. Ellis,United States,65,DC United,€500K,RB
N. DeLeon,United States,65,DC United,€450K,RB
O. Fisher,Jamaica,65,DC United,€450K,RB
L. Nieuwpoort,Netherlands,65,De Graafschap,€600K,CB
F. Olijve,Netherlands,65,De Graafschap,€525K,CM
M. Abena,Suriname,65,De Graafschap,€575K,RB
L. Owusu,Netherlands,65,De Graafschap,€675K,RWB
J. Thomassen,Netherlands,65,De Graafschap,€700K,ST
J. González,Paraguay,65,Defensa y Justicia,€575K,CB
L. Villarruel,Argentina,65,Defensa y Justicia,€500K,CDM
N. Avellaneda,Argentina,65,Defensa y Justicia,€525K,GK
C. Almeida,Uruguay,65,Defensa y Justicia,€425K,LB
M. Rojas,Paraguay,65,Defensa y Justicia,€775K,RCM
M. Blázquez,Chile,65,Deportes Iquique,€500K,LCB
H. Salinas,Chile,65,Deportes Iquique,€550K,LM
E. Pernía,Venezuela,65,Deportes Iquique,€775K,ST
C. Rentería,Colombia,65,Deportes Tolima,€750K,CDM
L. González,Venezuela,65,Deportes Tolima,€575K,RW
P. Twumasi,Ghana,65,Deportivo Alavés,€750K,RW
J. Guillermo,Colombia,65,Deportivo Pasto,€450K,CDM
C. Giraldo,Colombia,65,Deportivo Pasto,€70K,LDM
A. Palacios,Colombia,65,Deportivo Pasto,€450K,RM
H. Acosta,Mexico,65,Deportivo Toluca,€525K,RB
R. Ruiz,Mexico,65,Deportivo Toluca,€300K,RB
K. Walker,Sweden,65,Djurgårdens IF,€525K,CM
J. Ring,Sweden,65,Djurgårdens IF,€575K,RM
A. Badji,Senegal,65,Djurgårdens IF,€950K,ST
D. Andrew,England,65,Doncaster Rovers,€450K,LB
A. Butler,England,65,Doncaster Rovers,€160K,LCB
H. Kane,England,65,Doncaster Rovers,€825K,RCM
M. Blair,England,65,Doncaster Rovers,€525K,RM
N. Quaschner,Germany,65,DSC Arminia Bielefeld,€700K,LM
J. Clauss,France,65,DSC Arminia Bielefeld,€550K,RB
R. Massimo,Germany,65,DSC Arminia Bielefeld,€1.1M,RM
S. Brandy,Germany,65,DSC Arminia Bielefeld,€350K,ST
S. O'Donnell,Republic of Ireland,65,Dundalk,€400K,CM
D. O'Dea,Republic of Ireland,65,Dundee FC,€375K,LCB
C. Kerr,Scotland,65,Dundee FC,€675K,RB
G. Kusunga,Angola,65,Dundee FC,€400K,RCB
V. Supriaga,Ukraine,65,Dynamo Kyiv,€1.1M,ST
F. Tingager,Denmark,65,Eintracht Braunschweig,€600K,CB
N. Kijewski,Germany,65,Eintracht Braunschweig,€675K,LB
L. Putaro,Germany,65,Eintracht Braunschweig,€775K,RW
I. Zotko,Ukraine,65,Elche CF,€775K,CB
J. Untersee,Switzerland,65,Empoli,€750K,RM
C. Mancilla,Colombia,65,Envigado FC,€625K,RCB
J. Kauko,Finland,65,Esbjerg fB,€550K,LCM
I. Erquiaga,Argentina,65,Estudiantes de La Plata,€750K,LB
J. Murillo,Ecuador,65,Estudiantes de La Plata,€650K,LM
S. Al Rubaie,Saudi Arabia,65,Ettifaq FC,€625K,RCB
M. de Fockert,Netherlands,65,Excelsior,€550K,GK
A. Damen,Netherlands,65,Excelsior,€450K,GK
L. Burnet,Netherlands,65,Excelsior,€450K,LB
H. Matthys,Belgium,65,Excelsior,€650K,LCB
J. Caenepeel,Belgium,65,Excelsior,€775K,RM
T. Brown,Wales,65,Exeter City,€450K,CB
D. Moxey,England,65,Exeter City,€300K,LB
P. Sweeney,Republic of Ireland,65,Exeter City,€575K,RB
J. Stockley,England,65,Exeter City,€700K,RS
Borja García,Spain,65,Extremadura UD,€500K,CB
Olabe,Spain,65,Extremadura UD,€850K,CM
Álvaro,Spain,65,Extremadura UD,€775K,GK
B. Arce,Ecuador,65,Extremadura UD,€800K,LM
M. Jakoliš,Croatia,65,FC Admira Wacker Mödling,€775K,LW
S. Zwierschitz,Austria,65,FC Admira Wacker Mödling,€450K,RB
F. Götze,Germany,65,FC Augsburg,€1.1M,CB
Chumi,Spain,65,FC Barcelona,€1M,CB
Jorge Cuenca,Spain,65,FC Barcelona,€850K,CB
C. Früchtl,Germany,65,FC Bayern München,€1M,GK
G. Cros,France,65,FC Carl Zeiss Jena,€600K,LB
J. Günther-Schmidt,Germany,65,FC Carl Zeiss Jena,€775K,RS
M. Hernandez,Guatemala,65,FC Dallas,€550K,LB
N. Bakker,Netherlands,65,FC Emmen,€575K,LCB
W. Marinus,Netherlands,65,FC Emmen,€725K,LM
K. Veendorp,Netherlands,65,FC Emmen,€775K,RCB
J. Arias,Curacao,65,FC Emmen,€725K,ST
F. Viteritti,Germany,65,FC Energie Cottbus,€650K,LCM
E. Iyoha,Germany,65,FC Erzgebirge Aue,€975K,ST
G. Poussin,France,65,FC Girondins de Bordeaux,€950K,GK
M. Breij,Netherlands,65,FC Groningen,€800K,CAM
U. Antuna,Mexico,65,FC Groningen,€875K,RM
J. Pohl,Denmark,65,FC Groningen,€925K,ST
M. Biankadi,Congo,65,FC Hansa Rostock,€750K,LM
M. Pepi?,Montenegro,65,FC Hansa Rostock,€750K,RDM
Paulo Otávio,Brazil,65,FC Ingolstadt 04,€650K,LB
F. Ananou,Germany,65,FC Ingolstadt 04,€725K,RB
D. Petkovi?,Montenegro,65,FC Lorient,€475K,GK
J. Sabbatini,Uruguay,65,FC Lugano,€500K,RCM
T. Ndenge,Germany,65,FC Luzern,€725K,CDM
M. Schulz,Germany,65,FC Luzern,€750K,LDM
P. Schürpf,Switzerland,65,FC Luzern,€550K,LM
S. Grether,Switzerland,65,FC Luzern,€550K,RB
I. Voca,Kosovo,65,FC Luzern,€850K,RDM
M. Fofana,Mali,65,FC Metz,€1.1M,CDM
P. Delecroix,France,65,FC Metz,€425K,GK
M. Udol,France,65,FC Metz,€700K,LB
A. Walongwa,Congo,65,FC Nantes,€550K,CB
M. Damsgaard,Denmark,65,FC Nordsjælland,€1.1M,RCM
A. Skov Olsen,Denmark,65,FC Nordsjælland,€1.1M,RW
D. Szoboszlai,Hungary,65,FC Red Bull Salzburg,€1.1M,CAM
E. Mwepu,Zambia,65,FC Red Bull Salzburg,€925K,CM
M. Langer,Austria,65,FC Schalke 04,€270K,GK
Lee Woong Hee,Korea Republic,65,FC Seoul,€425K,CB
Kim Nam Chun,Korea Republic,65,FC Seoul,€475K,CB
Song Jin Hyung,Korea Republic,65,FC Seoul,€500K,CM
Jeong Hyun Cheol,Korea Republic,65,FC Seoul,€675K,CM
Kim Dong Woo,Korea Republic,65,FC Seoul,€400K,LCB
Evandro,Brazil,65,FC Seoul,€525K,ST
Q. Maceiras,Switzerland,65,FC Sion,€700K,RB
Einar Galilea,Spain,65,FC Sochaux-Montbéliard,€675K,CB
O. Verdon,Benin,65,FC Sochaux-Montbéliard,€650K,RCB
S. Daham,Algeria,65,FC Sochaux-Montbéliard,€900K,RCM
E. Demirovi?,Bosnia Herzegovina,65,FC Sochaux-Montbéliard,€1.2M,ST
P. Tschernegg,Austria,65,FC St. Gallen,€600K,CDM
V. Sierro,Switzerland,65,FC St. Gallen,€825K,RCM
Park Yi-Young,Korea Republic,65,FC St. Pauli,€600K,RB
R. Miyaichi,Japan,65,FC St. Pauli,€675K,RM
G. Faivre,Switzerland,65,FC Thun,€325K,GK
R. Ogawa,Japan,65,FC Tokyo,€650K,LB
K. Hashimoto,Japan,65,FC Tokyo,€700K,LDM
C. Togashi,Japan,65,FC Tokyo,€725K,ST
L. Görtler,Germany,65,FC Utrecht,€750K,ST
N. Venema,Netherlands,65,FC Utrecht,€950K,ST
D. Gabriele,Germany,65,FC Wacker Innsbruck,€750K,CAM
R. Kerschbaum,Austria,65,FC Wacker Innsbruck,€600K,CDM
I. Durmu?,Turkey,65,FC Wacker Innsbruck,€700K,LW
A. Vallci,Austria,65,FC Wacker Innsbruck,€575K,LWB
M. Ahlschwede,Germany,65,FC Würzburger Kickers,€450K,CB
P. Drewes,Germany,65,FC Würzburger Kickers,€525K,GK
O. Ademi,Switzerland,65,FC Würzburger Kickers,€650K,LS
D. Baumann,Germany,65,FC Würzburger Kickers,€725K,RS
C. Schoissengeyr,Austria,65,FK Austria Wien,€600K,CB
F. Knudsen,Norway,65,FK Haugesund,€850K,LCB
K. Haraldseid,Norway,65,FK Haugesund,€575K,RB
S. Tronstad,Norway,65,FK Haugesund,€675K,RCM
K. Dempsey,England,65,Fleetwood Town,€825K,CM
A. Cairns,England,65,Fleetwood Town,€525K,GK
J. Husband,England,65,Fleetwood Town,€600K,LB
A. Hunter,England,65,Fleetwood Town,€800K,LW
